date,open,max,min,close,volume,spread
2026-09-03,28.05,29.65,27.5,27.6,8401636,-0.05
2026-09-04,28.0,29.65,28.0,29.05,9647758,1.45
2026-09-07,28.9,30.25,28.4,29.4,9407152,0.35
2026-09-08,29.75,30.1,28.5,28.55,5198942,-0.85
2026-09-09,29.0,30.2,28.9,29.6,5661976,1.05
2026-09-10,29.4,30.75,29.25,29.8,9805912,0.2
2026-09-11,29.2,30.0,29.0,29.45,3287785,-0.35
2026-09-14,28.85,30.65,28.55,29.95,5305013,0.5
2026-09-15,29.65,30.2,29.2,29.25,3346135,-0.7
2026-09-16,29.4,32.15,29.4,32.15,17480412,2.9
2026-09-17,32.15,35.35,31.6,35.35,29893142,3.2
2026-09-18,37.15,38.85,35.85,38.85,32720032,3.5
2026-09-21,41.45,42.7,41.4,42.7,11637620,3.85
2026-09-22,45.0,45.6,42.1,44.0,68487034,1.3
2026-09-23,43.5,43.5,40.2,41.2,25341487,-2.8
2026-09-24,41.5,44.0,41.1,44.0,7626913,2.8
