date,open,max,min,close,volume,spread
2026-09-08,0.0,0.0,0.0,0.0,0,0.0
2026-09-09,0.0,0.0,0.0,0.0,0,0.0
2026-09-10,0.0,0.0,0.0,0.0,0,0.0
2026-09-11,0.0,0.0,0.0,0.0,0,0.0
2026-09-14,0.0,0.0,0.0,0.0,0,0.0
2026-09-15,0.0,0.0,0.0,0.0,0,0.0
2026-09-16,0.0,0.0,0.0,0.0,0,0.0
2026-09-17,2.4,2.4,2.4,2.4,1000,-0.54
2026-09-18,1.9,1.9,1.85,1.85,6000,-0.55
2026-09-21,1.35,1.35,1.35,1.35,2000,-0.5
2026-09-22,0.9,0.9,0.9,0.9,2000,-0.45
2026-09-23,0.5,0.5,0.5,0.5,5000,-0.4
2026-09-24,0.14,0.16,0.14,0.16,14000,-0.34
