date,open,max,min,close,volume,spread
2026-08-04,16.85,16.85,16.75,16.75,4206,0.4
2026-08-05,16.65,16.65,15.8,15.9,43707,-0.85
2026-08-06,16.0,16.2,15.35,15.9,25315,0.0
2026-08-07,15.9,16.1,15.7,15.7,12162,-0.2
2026-08-10,15.7,16.0,15.55,15.55,13007,-0.15
2026-08-11,16.4,16.4,16.0,16.0,16030,0.45
2026-08-12,16.0,16.3,16.0,16.25,29316,0.25
2026-08-13,16.1,16.25,16.1,16.25,9049,0.0
2026-08-14,17.8,17.8,16.05,16.05,10772,-0.2
2026-08-17,17.6,17.65,17.6,17.65,40809,1.6
2026-08-18,19.4,19.4,19.4,19.4,12548,1.75
2026-08-19,21.3,21.3,21.3,21.3,47074,1.9
2026-08-20,23.4,23.4,23.4,23.4,80753,2.1
2026-08-21,25.7,25.7,25.7,25.7,79954,2.3
2026-08-24,28.25,28.25,25.7,26.65,329430,0.95
2026-08-25,26.65,26.65,24.0,25.15,118663,-1.5
