date,open,max,min,close,volume,spread
2026-07-30,25.4,26.55,25.15,26.15,789500,0.3
2026-07-31,27.3,28.0,27.2,27.7,1766142,1.55
2026-08-03,26.95,28.8,26.95,28.4,1994497,0.7
2026-08-04,28.4,29.0,28.15,28.4,1919319,0.0
2026-08-05,28.5,29.2,28.4,28.55,1845889,0.15
2026-08-06,28.55,29.7,28.05,29.7,1928952,1.15
2026-08-07,29.7,30.75,29.6,30.4,5065048,0.7
2026-08-10,31.05,31.75,30.55,31.6,4771624,1.2
2026-08-11,30.75,32.45,30.75,32.0,3489302,0.4
2026-08-12,32.25,33.95,32.05,33.5,5445047,1.5
2026-08-13,36.85,36.85,36.8,36.85,3146521,3.35
2026-08-14,37.85,40.45,37.2,39.65,12749708,2.8
2026-08-17,39.9,43.0,39.5,42.45,11424948,2.8
2026-08-18,42.65,44.5,41.8,44.5,10287852,2.05
2026-08-19,43.7,47.95,43.05,46.8,11938829,2.3
2026-08-20,47.5,49.25,47.15,49.15,3556546,2.35
2026-08-21,50.1,53.9,50.1,53.9,3538858,4.75
2026-08-24,57.4,57.8,49.55,49.7,5437067,-4.2
2026-08-25,50.9,54.6,50.0,54.6,3704287,4.9
2026-08-26,52.8,57.0,52.8,53.6,3840303,-1.0
