date,open,max,min,close,volume,spread
2026-08-04,17.15,17.6,16.4,17.3,261758,0.7
2026-08-05,17.4,17.5,16.85,16.9,288979,-0.4
2026-08-06,16.9,17.1,16.55,16.85,126469,-0.05
2026-08-07,16.9,17.2,16.3,16.35,313358,-0.5
2026-08-10,16.5,16.75,16.4,16.6,130669,0.25
2026-08-11,16.75,17.35,16.75,17.15,378011,0.55
2026-08-12,17.15,17.35,16.4,16.8,391914,-0.35
2026-08-13,16.8,16.95,16.75,16.75,150654,-0.05
2026-08-14,16.5,16.55,15.6,15.9,589923,-0.85
2026-08-17,15.85,15.85,15.1,15.45,386134,-0.45
2026-08-18,13.95,13.95,13.95,13.95,699188,-1.5
2026-08-19,12.6,12.6,12.6,12.6,202012,-1.35
2026-08-20,11.35,12.6,11.35,11.75,3488216,-0.85
2026-08-21,11.0,11.4,11.0,11.1,970125,-0.65
2026-08-24,11.3,11.5,11.15,11.35,525088,0.25
2026-08-25,11.45,12.45,11.45,12.45,440766,1.1
2026-08-26,12.4,12.75,12.2,12.45,533836,0.0
2026-08-27,12.45,12.45,12.0,12.45,239569,0.0
2026-08-28,11.75,12.45,11.75,12.3,204907,-0.15
2026-08-31,12.05,13.5,12.05,12.85,332033,0.55
