date,open,max,min,close,volume,spread
2026-08-21,86.8,87.9,86.0,87.1,37040,-0.2
2026-08-24,85.3,88.4,84.7,87.9,71289,0.8
2026-08-25,85.7,86.7,83.9,85.2,50500,-2.7
2026-08-26,85.9,91.2,85.2,89.9,66308,4.7
2026-08-27,90.0,92.0,88.3,89.0,44091,-0.9
2026-08-28,89.0,92.0,89.0,90.0,31357,1.0
2026-08-31,92.0,92.4,87.7,88.5,70796,-1.5
2026-09-01,88.5,93.0,88.5,91.0,69426,2.5
2026-09-02,91.5,92.0,88.8,90.5,54583,-0.5
2026-09-03,91.5,99.5,90.5,99.5,228003,9.0
2026-09-04,109.0,109.0,109.0,109.0,109354,9.5
2026-09-07,119.5,119.5,119.5,119.5,86259,10.5
2026-09-08,131.0,131.0,131.0,131.0,149049,11.5
2026-09-09,144.0,144.0,122.0,130.0,1635127,-1.0
2026-09-10,125.0,136.5,121.0,123.0,503158,-7.0
