date,open,max,min,close,volume,spread
2026-09-02,343.0,369.0,337.5,341.5,1857136,6.0
2026-09-03,340.0,341.5,307.5,307.5,1556786,-34.0
2026-09-04,317.5,328.5,311.5,320.0,1156529,12.5
2026-09-07,321.5,351.0,315.5,339.0,1454017,19.0
2026-09-08,333.0,340.0,322.0,325.0,717970,-14.0
2026-09-09,330.0,357.5,330.0,354.5,1703369,29.5
2026-09-10,350.5,353.5,335.5,336.5,840406,-18.0
2026-09-11,323.5,334.5,316.5,321.5,984121,-15.0
2026-09-14,313.5,351.0,312.0,346.0,937585,24.5
2026-09-15,333.5,380.0,333.5,357.5,2625978,11.5
2026-09-16,354.0,393.0,339.5,393.0,3523438,35.5
2026-09-17,406.0,432.0,391.5,394.0,5910220,1.0
2026-09-18,398.0,433.0,394.0,433.0,4535425,39.0
2026-09-21,433.0,475.0,433.0,451.5,5331633,18.5
2026-09-22,451.5,469.5,445.0,451.5,3208138,0.0
2026-09-23,451.0,479.5,440.5,459.5,1172849,8.0
2026-09-24,462.5,472.5,459.0,468.5,560936,9.0
