date,open,max,min,close,volume,spread
2026-07-24,332.0,337.5,309.5,309.5,18026212,-34.0
2026-07-27,300.5,309.0,290.0,307.0,14624042,-2.5
2026-07-28,288.0,301.0,276.5,276.5,19040564,-30.5
2026-07-29,275.0,277.5,249.0,249.0,11867324,-27.5
2026-07-30,239.0,266.0,237.0,239.5,20665200,-9.5
2026-07-31,263.0,263.0,263.0,263.0,2069260,23.5
2026-08-03,289.0,289.0,285.0,289.0,8241029,26.0
2026-08-04,290.0,313.0,289.0,310.0,21166434,21.0
2026-08-05,324.0,341.0,320.5,341.0,26865735,31.0
2026-08-06,341.0,375.0,336.5,375.0,30617965,34.0
2026-08-07,384.5,401.0,366.0,389.0,50764820,14.0
2026-08-10,424.0,427.5,422.0,427.5,20055590,38.5
2026-08-11,427.5,452.0,395.5,452.0,16717332,24.5
2026-08-12,459.0,475.0,451.5,464.0,8182733,12.0
2026-08-13,469.0,470.0,448.0,469.0,7014384,5.0
2026-08-14,463.0,490.0,462.0,480.0,3959731,11.0
2026-08-17,475.5,491.5,466.0,481.0,2341561,1.0
2026-08-18,486.0,500.0,477.0,488.0,3600293,7.0
