date,open,max,min,close,volume,spread
2026-08-19,76.5,76.5,74.7,74.8,290861,-1.8
2026-08-20,74.8,76.7,74.8,75.8,185547,1.0
2026-08-21,75.5,76.6,75.0,75.0,213857,-0.8
2026-08-24,75.0,76.0,74.7,75.8,161755,0.8
2026-08-25,75.8,75.8,74.1,74.6,302428,-1.2
2026-08-26,74.6,77.1,74.6,75.8,189809,1.2
2026-08-27,75.8,78.2,75.8,76.9,267980,1.1
2026-08-28,77.1,84.5,77.1,84.5,1204014,7.6
2026-08-31,92.9,92.9,92.9,92.9,658365,8.4
2026-09-01,102.0,102.0,86.8,86.8,4752630,-6.1
2026-09-02,87.9,95.4,87.7,95.4,2922498,8.6
2026-09-03,92.9,103.5,92.0,98.0,3585346,2.6
2026-09-04,105.0,107.5,97.1,107.5,6839068,9.5
2026-09-07,114.5,118.0,107.5,113.0,9390631,5.5
2026-09-08,121.5,124.0,120.0,124.0,5935868,11.0
2026-09-09,127.5,132.0,127.0,132.0,2934864,8.0
