date,open,max,min,close,volume,spread
2026-08-11,21.4,22.3,20.1,20.3,13258443,-1.1
2026-08-12,20.85,20.9,20.1,20.3,5919505,0.0
2026-08-13,20.45,20.9,19.5,19.6,9535979,-0.7
2026-08-14,19.7,19.75,19.05,19.05,5084139,-0.55
2026-08-17,19.05,19.65,18.7,19.2,5520455,0.15
2026-08-18,19.4,21.1,19.4,21.1,15604523,1.9
2026-08-19,21.1,23.2,21.05,21.3,55232956,0.2
2026-08-20,21.7,22.3,21.5,22.0,20639230,0.7
2026-08-21,21.65,22.05,21.2,21.2,7637747,-0.8
2026-08-24,21.2,23.3,21.0,23.3,19067009,2.1
2026-08-25,23.35,25.6,23.1,25.6,74889096,2.3
2026-08-26,27.8,28.15,27.7,28.15,7681500,2.55
2026-08-27,30.95,30.95,29.45,30.95,27141227,2.8
2026-08-28,33.9,34.0,33.75,34.0,6185486,3.05
2026-08-31,35.25,36.6,31.5,31.6,64819357,-2.4
2026-09-01,32.8,34.0,31.0,34.0,10790578,2.4
2026-09-02,33.3,34.6,33.0,34.15,6873956,0.15
2026-09-03,35.1,35.55,32.0,32.0,5284891,-2.15
2026-09-04,33.0,33.5,30.7,33.5,4993207,1.5
2026-09-07,34.0,34.4,32.35,32.4,5892985,-1.1
2026-09-08,31.6,32.7,29.6,29.6,17602029,-2.8
2026-09-09,30.05,31.8,29.55,29.65,15254890,0.05
2026-09-10,29.65,32.6,29.45,32.6,15232595,2.95
2026-09-11,33.05,33.35,30.0,30.0,41710661,-2.6
2026-09-14,29.5,33.0,29.4,33.0,33483872,3.0
2026-09-15,33.95,36.3,33.05,36.3,81114487,3.3
2026-09-16,39.85,39.9,39.6,39.9,6533964,3.6
2026-09-17,43.85,43.85,42.15,43.85,23028325,3.95
2026-09-18,44.05,48.0,42.3,45.7,129839900,1.85
2026-09-21,45.3,45.45,42.9,44.5,6890544,-1.2
2026-09-22,44.95,44.95,43.5,44.2,4041380,-0.3
