date,open,max,min,close,volume,spread
2026-08-10,10.2,10.2,9.71,9.71,21095,-0.39
2026-08-11,9.98,10.05,9.98,9.99,9004,0.28
2026-08-12,10.15,10.15,9.31,9.95,48106,-0.04
2026-08-13,9.88,9.97,9.85,9.94,24106,-0.01
2026-08-14,10.1,10.1,9.97,10.05,19062,0.11
2026-08-17,10.3,10.55,10.25,10.25,10053,0.2
2026-08-18,10.35,10.35,10.05,10.2,11705,-0.05
2026-08-19,10.15,10.15,9.89,10.1,13000,-0.1
2026-08-20,10.05,10.05,9.93,10.0,12255,-0.1
2026-08-21,10.8,11.0,10.6,11.0,226789,1.0
2026-08-24,12.1,12.1,11.75,12.1,606466,1.1
2026-08-25,12.35,13.3,12.35,13.3,803133,1.2
2026-08-26,14.6,14.6,14.6,14.6,320072,1.3
2026-08-27,16.05,16.05,16.05,16.05,331608,1.45
2026-08-28,17.65,17.65,14.5,16.15,2189496,0.1
