date,open,max,min,close,volume,spread
2026-07-23,311.0,311.0,303.0,305.5,97481,-3.0
2026-07-24,302.5,303.5,295.0,297.0,127333,-8.5
2026-07-27,291.0,302.5,290.0,302.0,214745,5.0
2026-07-28,299.5,299.5,285.0,285.0,238268,-17.0
2026-07-29,287.5,293.5,270.5,282.0,317878,-3.0
2026-07-30,279.5,284.0,273.0,277.5,183515,-4.5
2026-07-31,291.0,293.0,287.0,292.5,148431,15.0
2026-08-03,292.0,300.0,289.5,293.5,172784,1.0
2026-08-04,291.5,300.0,290.5,299.5,163825,6.0
2026-08-05,329.0,329.0,329.0,329.0,74377,29.5
2026-08-06,361.5,361.5,361.5,361.5,191485,32.5
2026-08-07,397.5,397.5,370.5,375.0,2470695,13.5
2026-08-10,384.5,405.0,376.0,405.0,1380221,30.0
2026-08-11,445.5,445.5,404.0,407.0,2192742,2.0
2026-08-12,445.0,447.5,434.0,447.5,1897845,40.5
2026-08-13,456.0,492.0,447.5,491.5,2042027,44.0
2026-08-14,499.0,499.0,470.0,472.0,993433,-19.5
2026-08-17,476.0,476.0,466.5,475.0,491987,3.0
2026-08-18,480.0,495.0,480.0,492.0,870862,17.0
