date,open,max,min,close,volume,spread
2026-08-04,420.0,420.0,416.5,420.0,327444,38.0
2026-08-05,462.0,462.0,462.0,462.0,213648,42.0
2026-08-06,465.0,508.0,459.0,480.0,4512742,18.0
2026-08-07,499.0,499.0,450.0,460.5,2871919,-19.5
2026-08-10,479.0,505.0,470.0,502.0,2714336,41.5
2026-08-11,478.0,485.0,462.0,465.0,896920,-37.0
2026-08-12,478.0,500.0,475.0,500.0,629672,35.0
2026-08-13,535.0,535.0,489.5,494.0,733739,-6.0
2026-08-14,484.5,487.0,473.0,480.0,443149,-14.0
2026-08-17,487.0,528.0,487.0,528.0,1074614,48.0
2026-08-18,564.0,580.0,545.0,556.0,6501197,28.0
2026-08-19,524.0,574.0,520.0,528.0,4333825,-28.0
2026-08-20,529.0,580.0,505.0,580.0,5108498,52.0
2026-08-21,595.0,612.0,571.0,588.0,5207246,8.0
2026-08-24,575.0,581.0,530.0,530.0,3495739,-58.0
2026-08-25,520.0,554.0,502.0,554.0,551120,24.0
