date,open,max,min,close,volume,spread
2026-08-25,148.0,165.0,145.5,165.0,1910913,15.0
2026-08-26,165.0,173.0,165.0,168.5,1693685,3.5
2026-08-27,168.0,169.0,160.0,160.0,1024296,-8.5
2026-08-28,161.5,163.5,158.5,161.0,464157,1.0
2026-08-31,159.0,160.0,156.0,156.5,424474,-4.5
2026-09-01,161.0,172.0,160.0,164.0,1348416,7.5
2026-09-02,161.5,167.0,160.5,160.5,386196,-3.5
2026-09-03,160.5,163.0,156.0,156.5,383873,-4.0
2026-09-04,159.0,160.0,155.0,158.5,275372,2.0
2026-09-07,160.5,169.5,158.0,164.0,602212,5.5
2026-09-08,166.0,180.0,163.0,180.0,1635781,16.0
2026-09-09,183.0,198.0,178.5,198.0,7371703,18.0
2026-09-10,203.0,217.5,201.0,217.5,7925661,19.5
2026-09-11,235.0,239.0,229.5,239.0,5748311,21.5
2026-09-14,240.5,259.0,235.0,241.0,19943918,2.0
2026-09-15,239.0,253.0,239.0,249.5,1880718,8.5
2026-09-16,250.5,274.0,248.0,272.0,2751086,22.5
2026-09-17,273.0,281.0,258.0,258.0,3231438,-14.0
2026-09-18,263.0,279.0,252.0,279.0,1730534,21.0
2026-09-21,282.0,287.5,271.5,287.5,970150,8.5
2026-09-22,299.5,316.0,295.0,305.0,1713962,17.5
2026-09-23,308.5,310.0,290.0,310.0,949847,5.0
2026-09-24,305.0,309.0,295.0,306.5,984049,-3.5
