date,open,max,min,close,volume,spread
2026-08-18,186.5,198.5,181.0,192.0,2522971,1.5
2026-08-19,186.0,197.5,185.0,191.5,2381155,-0.5
2026-08-20,188.0,195.0,175.0,194.0,3322219,2.5
2026-08-21,207.0,208.0,191.0,196.5,4077100,2.5
2026-08-24,194.5,204.5,193.0,193.0,1541435,-3.5
2026-08-25,200.0,210.5,192.0,205.5,5320233,12.5
2026-08-26,201.0,217.0,198.0,212.0,2478624,6.5
2026-08-27,211.0,222.5,207.0,222.0,2517898,10.0
2026-08-28,219.0,222.5,200.0,200.0,2872087,-22.0
2026-08-31,197.5,215.0,197.5,205.5,3023830,5.5
2026-09-01,224.0,226.0,224.0,226.0,846472,20.5
2026-09-02,248.5,248.5,248.5,248.5,562833,22.5
2026-09-03,273.0,273.0,273.0,273.0,514581,24.5
2026-09-04,261.5,300.0,257.5,300.0,9563341,27.0
2026-09-07,295.5,315.0,281.5,305.0,5900707,5.0
2026-09-08,307.0,328.0,299.0,321.0,1030822,16.0
2026-09-09,320.0,353.0,316.5,349.0,1171967,28.0
2026-09-10,338.0,349.0,335.0,338.5,785653,-10.5
2026-09-11,337.5,370.0,337.5,368.0,982420,29.5
