date,open,max,min,close,volume,spread
2026-07-24,428.0,460.0,406.5,417.0,12543071,-19.0
2026-07-27,411.0,447.5,404.0,433.5,6877853,16.5
2026-07-28,400.0,430.5,392.5,396.0,8134440,-37.5
2026-07-29,392.5,401.0,356.5,356.5,6173698,-39.5
2026-07-30,321.0,352.5,321.0,321.0,802899,-35.5
2026-07-31,353.0,353.0,350.0,353.0,365700,32.0
2026-08-03,368.0,388.0,368.0,388.0,525223,35.0
2026-08-04,420.0,426.5,420.0,426.5,543123,38.5
2026-08-05,469.0,469.0,453.0,469.0,2152468,42.5
2026-08-06,422.5,452.5,422.5,442.0,1715640,-27.0
2026-08-07,443.0,478.5,443.0,465.0,1251520,23.0
2026-08-10,490.0,511.0,489.0,511.0,3610410,46.0
2026-08-11,491.0,522.0,461.0,481.0,9538427,-30.0
2026-08-12,486.0,500.0,460.0,484.5,11591159,3.5
2026-08-13,503.0,512.0,478.0,478.0,8673854,-6.5
2026-08-14,465.0,482.0,460.0,460.0,959114,-18.0
2026-08-17,478.0,492.0,472.0,488.0,896955,28.0
2026-08-18,497.0,500.0,482.0,485.0,1450712,-3.0
2026-08-19,461.5,495.0,457.5,486.5,982599,1.5
2026-08-20,505.0,520.0,480.0,520.0,1429612,33.5
2026-08-21,512.0,520.0,481.0,481.0,8913360,-39.0
2026-08-24,481.0,483.0,435.0,435.0,4595745,-46.0
2026-08-25,435.0,451.5,418.5,445.0,4104983,10.0
2026-08-26,442.0,489.5,442.0,489.5,5092509,44.5
2026-08-27,508.0,538.0,500.0,538.0,8175882,48.5
2026-08-28,538.0,540.0,511.0,520.0,9448429,-18.0
2026-08-31,515.0,543.0,505.0,539.0,6144023,19.0
2026-09-01,530.0,554.0,511.0,544.0,9314882,5.0
2026-09-02,524.0,545.0,524.0,530.0,5856964,-14.0
2026-09-03,536.0,560.0,480.5,484.5,13450089,-45.5
2026-09-04,499.0,505.0,470.0,497.0,1169499,12.5
