date,open,max,min,close,volume,spread
2026-08-19,0.69,0.69,0.69,0.69,2000,0.09
2026-08-20,0.0,0.0,0.0,0.0,0,0.0
2026-08-21,0.47,0.47,0.47,0.47,3000,-0.22
2026-08-24,0.47,0.67,0.47,0.67,6000,0.2
2026-08-25,0.82,0.82,0.82,0.82,2000,0.15
2026-08-26,0.79,0.84,0.79,0.83,64000,0.01
2026-08-27,0.75,0.75,0.75,0.75,5000,-0.08
2026-08-28,0.68,0.68,0.68,0.68,3000,-0.07
2026-08-31,0.5,0.82,0.47,0.8,32000,0.12
2026-09-01,0.7,1.04,0.7,1.04,67000,0.24
2026-09-02,1.28,1.28,0.8,1.28,13000,0.24
2026-09-03,1.28,1.49,1.28,1.45,4000,0.17
2026-09-04,1.4,1.5,1.4,1.5,8000,0.05
2026-09-07,1.67,1.67,1.3,1.65,9000,0.15
2026-09-08,1.73,1.8,1.68,1.8,35000,0.15
2026-09-09,2.03,2.03,2.03,2.03,1000,0.23
