date,open,max,min,close,volume,spread
2026-07-23,216.0,217.0,209.5,212.0,2107909,-3.0
2026-07-24,207.5,210.0,198.5,198.5,1843356,-13.5
2026-07-27,196.0,206.0,196.0,203.0,2565751,4.5
2026-07-28,193.5,194.5,185.0,185.0,2069026,-18.0
2026-07-29,186.5,193.0,166.5,174.0,6487773,-11.0
2026-07-30,170.5,176.5,160.0,161.5,4373116,-12.5
2026-07-31,177.5,177.5,174.5,177.5,1729287,16.0
2026-08-03,176.0,195.0,176.0,191.0,3288624,13.5
2026-08-04,195.0,197.0,190.0,196.0,5405738,5.0
2026-08-05,201.0,205.0,198.5,199.0,3652469,3.0
2026-08-06,197.0,218.5,197.0,218.5,5791306,19.5
2026-08-07,217.0,233.0,213.0,216.5,16205956,-2.0
2026-08-10,231.5,238.0,230.5,238.0,2758679,21.5
2026-08-11,239.5,261.0,239.0,255.0,21516630,17.0
2026-08-12,255.0,268.0,250.5,267.0,16103870,12.0
2026-08-13,271.0,271.5,261.0,261.0,2347260,-6.0
2026-08-14,265.0,265.0,256.5,263.0,1693678,2.0
2026-08-17,267.0,270.0,264.0,269.5,1743788,6.5
2026-08-18,270.5,271.0,259.0,259.5,1558570,-10.0
2026-08-19,252.0,271.5,250.0,268.0,2096690,8.5
2026-08-20,273.0,275.0,259.0,273.0,2111125,5.0
