date,open,max,min,close,volume,spread
2026-08-28,29.35,29.75,28.6,29.0,3772104,-0.45
2026-08-31,29.0,31.9,28.75,30.05,10290983,1.05
2026-09-01,29.7,30.3,29.25,29.55,4589754,-0.5
2026-09-02,29.05,30.7,29.05,30.05,3858859,0.5
2026-09-03,30.25,30.5,29.25,30.1,4355058,0.05
2026-09-04,30.4,31.8,29.05,30.85,12795506,0.75
2026-09-07,31.1,33.7,30.55,33.4,12488405,2.55
2026-09-08,33.95,36.2,32.75,33.2,21635033,-0.2
2026-09-09,33.7,35.0,32.55,35.0,12306833,1.8
2026-09-10,36.0,38.5,35.8,38.5,17665099,3.5
2026-09-11,38.65,41.05,37.7,41.05,57982441,2.55
2026-09-14,40.45,45.15,39.5,45.15,33465049,4.1
2026-09-15,45.6,48.05,44.2,44.95,93620288,-0.2
2026-09-16,44.5,49.4,44.1,49.4,25857898,4.45
2026-09-17,52.8,54.3,52.8,54.3,7012311,4.9
2026-09-18,57.7,59.0,53.8,58.7,13495965,4.4
2026-09-21,59.1,61.9,55.5,58.8,9399397,0.1
2026-09-22,57.5,60.0,56.8,60.0,6816969,1.2
2026-09-23,61.3,65.6,60.4,63.6,6665913,3.6
2026-09-24,63.3,64.2,62.4,62.9,4243609,-0.7
