date,open,max,min,close,volume,spread
2026-08-03,301.5,321.0,300.0,321.0,6310849,29.0
2026-08-04,349.0,353.0,347.5,353.0,5155026,32.0
2026-08-05,388.0,388.0,382.5,388.0,10922747,35.0
2026-08-06,384.0,402.0,365.5,372.0,35122357,-16.0
2026-08-07,378.0,388.0,358.5,364.0,14692107,-8.0
2026-08-10,382.0,392.0,376.0,384.5,5128734,20.5
2026-08-11,365.0,373.5,358.5,367.5,3560254,-17.0
2026-08-12,372.0,388.0,372.0,384.5,3970047,17.0
2026-08-13,398.0,398.0,380.0,384.0,3730787,-0.5
2026-08-14,385.0,385.0,376.0,379.5,2660937,-4.5
2026-08-17,409.5,417.0,405.0,417.0,13651044,37.5
2026-08-18,435.0,437.5,409.5,417.5,35432951,0.5
2026-08-19,385.5,415.0,385.0,396.5,15313042,-21.0
2026-08-20,411.5,416.0,392.5,412.0,16531391,15.5
2026-08-21,404.0,411.0,393.5,406.0,14167138,-6.0
2026-08-24,401.5,405.5,381.5,381.5,3076652,-24.5
