date,open,max,min,close,volume,spread
2026-08-10,28.5,28.5,28.5,28.5,2369,-0.05
2026-08-11,28.5,28.5,28.5,28.5,2624,0.0
2026-08-12,29.5,29.5,29.5,29.5,1336,1.0
2026-08-13,29.5,29.5,29.5,29.5,3318,0.0
2026-08-14,0.0,0.0,0.0,0.0,0,0.0
2026-08-17,0.0,0.0,0.0,0.0,19,0.0
2026-08-18,0.0,0.0,0.0,0.0,28,0.0
2026-08-19,0.0,0.0,0.0,0.0,0,0.0
2026-08-20,25.65,28.2,25.65,26.65,9152,-1.55
2026-08-21,27.55,29.3,27.55,29.3,13373,2.65
2026-08-24,29.3,32.2,29.3,32.2,14621,2.9
2026-08-25,32.45,35.4,32.45,35.4,12966,3.2
2026-08-26,38.9,38.9,38.9,38.9,13843,3.5
2026-08-27,40.1,42.75,40.0,42.75,35152,3.85
2026-08-28,47.0,47.0,45.1,47.0,213459,4.25
2026-08-31,47.0,47.0,43.15,44.5,90783,-2.5
2026-09-01,46.9,46.9,44.6,44.6,28657,0.1
