date,open,max,min,close,volume,spread
2026-08-13,1065.0,1080.0,1025.0,1035.0,4531135,-15.0
2026-08-14,1050.0,1050.0,1005.0,1010.0,2160468,-25.0
2026-08-17,1015.0,1035.0,1000.0,1005.0,1511677,-5.0
2026-08-18,1015.0,1020.0,978.0,978.0,1655266,-27.0
2026-08-19,962.0,1005.0,955.0,989.0,1541613,11.0
2026-08-20,1000.0,1005.0,970.0,993.0,1248698,4.0
2026-08-21,987.0,991.0,965.0,969.0,1195617,-24.0
2026-08-24,973.0,1050.0,970.0,1015.0,2610664,46.0
2026-08-25,1005.0,1075.0,993.0,1065.0,4011479,50.0
2026-08-26,1070.0,1085.0,1055.0,1075.0,3898741,10.0
2026-08-27,1080.0,1120.0,1055.0,1060.0,4185697,-15.0
2026-08-28,1075.0,1155.0,1075.0,1140.0,6469042,80.0
2026-08-31,1130.0,1250.0,1125.0,1250.0,9673341,110.0
2026-09-01,1300.0,1375.0,1300.0,1375.0,9282828,125.0
2026-09-02,1375.0,1465.0,1370.0,1435.0,11001859,60.0
2026-09-03,1435.0,1455.0,1320.0,1350.0,2235101,-85.0
2026-09-04,1465.0,1485.0,1410.0,1485.0,3081121,135.0
