date,open,max,min,close,volume,spread
2026-09-02,41.95,45.35,41.95,43.55,4254677,1.95
2026-09-03,43.75,44.7,41.75,42.6,1773638,-0.95
2026-09-04,43.25,43.75,41.5,42.25,1306768,-0.35
2026-09-07,43.2,45.5,42.7,44.55,2980649,2.3
2026-09-08,44.55,49.0,43.9,46.7,7430342,2.15
2026-09-09,46.7,48.95,46.15,46.9,4923076,0.2
2026-09-10,46.9,47.9,45.8,46.15,1912019,-0.75
2026-09-11,44.65,46.0,43.9,44.9,1160063,-1.25
2026-09-14,44.6,45.85,43.25,44.8,1415640,-0.1
2026-09-15,44.75,49.25,44.15,49.25,3926305,4.45
2026-09-16,50.2,54.1,48.5,54.1,15402423,4.85
2026-09-17,56.0,58.9,53.7,56.0,24670044,1.9
2026-09-18,57.2,61.6,56.1,61.6,15628932,5.6
2026-09-21,66.1,67.7,66.1,67.7,2170078,6.1
2026-09-22,69.0,69.0,61.0,61.0,12763387,-6.7
