date,open,max,min,close,volume,spread
2026-08-12,189.5,197.0,184.0,194.0,974062,6.0
2026-08-13,195.5,201.0,187.5,197.5,1068427,3.5
2026-08-14,197.5,197.5,186.5,188.5,600916,-9.0
2026-08-17,188.0,193.5,182.0,192.0,371482,3.5
2026-08-18,193.0,193.0,186.5,191.5,461807,-0.5
2026-08-19,186.0,193.0,186.0,190.5,222958,-1.0
2026-08-20,195.0,195.0,188.5,193.0,254641,2.5
2026-08-21,191.0,193.0,185.0,185.5,266491,-7.5
2026-08-24,185.0,198.0,185.0,194.5,543374,9.0
2026-08-25,194.5,195.5,186.5,195.5,406258,1.0
2026-08-26,199.0,215.0,197.5,215.0,1533341,19.5
2026-08-27,236.5,236.5,236.5,236.5,550758,21.5
2026-08-28,260.0,260.0,256.0,260.0,1952815,23.5
2026-08-31,284.0,286.0,283.0,286.0,2056481,26.0
2026-09-01,296.0,314.5,296.0,314.5,3418616,28.5
2026-09-02,314.5,331.0,309.0,331.0,1260106,16.5
2026-09-03,316.0,322.0,301.5,302.0,1360888,-29.0
2026-09-04,309.0,319.0,299.0,317.0,956572,15.0
