date,open,max,min,close,volume,spread
2026-07-17,1.26,1.38,1.26,1.38,20000,-0.09
2026-07-20,1.19,1.36,1.19,1.35,13000,-0.03
2026-07-21,1.5,1.5,1.25,1.49,7000,0.14
2026-07-22,1.59,1.59,1.59,1.59,1000,0.1
2026-07-23,1.59,1.59,1.59,1.59,1000,0.0
2026-07-24,1.58,1.58,1.58,1.58,1000,-0.01
2026-07-27,1.57,1.57,1.57,1.57,1000,-0.01
2026-07-28,0.0,0.0,0.0,0.0,0,0.0
2026-07-29,1.25,1.25,1.25,1.25,1000,0.0
2026-07-30,1.35,1.35,1.35,1.35,1000,0.1
2026-07-31,1.4,1.4,1.23,1.23,18000,-0.12
2026-08-03,1.29,1.29,1.11,1.11,6000,-0.12
2026-08-04,0.98,0.98,0.98,0.98,27000,-0.13
2026-08-05,0.84,0.84,0.84,0.84,40000,-0.14
2026-08-06,0.72,0.8,0.72,0.79,15000,-0.05
2026-08-07,0.79,0.79,0.76,0.76,6000,-0.03
2026-08-10,0.76,0.76,0.76,0.76,10000,0.0
2026-08-11,0.79,0.8,0.79,0.8,3000,0.04
2026-08-12,0.8,0.8,0.8,0.8,4000,0.0
2026-08-13,0.9,0.93,0.86,0.93,22000,0.13
2026-08-14,0.86,0.86,0.8,0.8,36000,-0.13
2026-08-17,0.8,0.86,0.77,0.86,560000,0.06
2026-08-18,0.86,0.92,0.8,0.8,500000,-0.06
2026-08-19,0.85,0.88,0.85,0.85,3000,0.05
2026-08-20,0.77,0.77,0.75,0.75,27000,-0.1
