date,open,max,min,close,volume,spread
2026-09-08,288.0,293.5,275.0,275.0,440620,-13.0
2026-09-09,280.5,290.0,280.5,282.5,329801,7.5
2026-09-10,282.5,282.5,272.0,276.5,294457,-6.0
2026-09-11,263.5,271.0,258.5,262.0,379990,-14.5
2026-09-14,256.5,262.0,250.5,252.0,249851,-10.0
2026-09-15,249.0,266.0,249.0,250.0,317991,-2.0
2026-09-16,254.5,255.0,251.5,253.5,154426,3.5
2026-09-17,258.0,278.5,257.5,278.5,764719,25.0
2026-09-18,291.0,298.0,275.0,275.0,1053627,-3.5
2026-09-21,279.0,302.5,276.5,302.5,1074326,27.5
2026-09-22,318.0,332.5,310.0,332.5,3090148,30.0
2026-09-23,325.5,335.0,317.0,331.5,2995847,-1.0
2026-09-24,323.5,357.0,320.5,328.0,2606774,-3.5
