date,open,max,min,close,volume,spread
2026-09-02,96.5,97.9,95.0,97.6,122994,1.1
2026-09-03,98.2,99.9,93.0,97.4,167148,-0.2
2026-09-04,95.7,97.0,95.0,95.6,74201,-1.8
2026-09-07,97.0,97.0,95.2,95.3,122547,-0.3
2026-09-08,94.6,96.7,94.6,95.8,88052,0.5
2026-09-09,97.2,97.2,95.4,95.4,72492,-0.4
2026-09-10,95.1,98.5,94.7,98.5,135217,3.1
2026-09-11,99.5,99.5,96.5,98.5,179695,0.0
2026-09-14,98.5,99.8,96.5,99.8,136612,1.3
2026-09-15,100.0,109.5,100.0,109.5,834767,9.7
2026-09-16,114.5,120.0,110.5,120.0,706914,10.5
2026-09-17,119.5,130.0,118.0,124.0,1792434,4.0
2026-09-18,119.5,132.0,114.0,132.0,1216424,8.0
2026-09-21,131.0,137.0,124.5,135.0,962362,3.0
2026-09-22,130.5,137.5,130.5,135.0,626964,0.0
