date,open,max,min,close,volume,spread
2026-07-28,0.0,0.0,0.0,0.0,15,0.0
2026-07-29,2.47,2.7,2.47,2.7,2111,0.0
2026-07-30,2.6,2.6,2.6,2.6,1060,-0.1
2026-07-31,2.61,2.61,2.61,2.61,40000,0.01
2026-08-03,2.61,2.61,2.59,2.59,12000,-0.02
2026-08-04,2.8,2.8,2.8,2.8,4000,0.21
2026-08-05,2.83,2.83,2.79,2.79,55000,-0.01
2026-08-06,2.6,2.6,2.6,2.6,13840,-0.19
2026-08-07,2.51,2.6,2.51,2.53,46670,-0.07
2026-08-10,2.53,2.69,2.32,2.54,108490,0.01
2026-08-11,2.51,2.64,2.51,2.6,42700,0.06
2026-08-12,2.59,2.61,2.59,2.61,37232,0.01
2026-08-13,2.61,2.62,2.6,2.6,11402,-0.01
2026-08-14,2.63,2.63,2.63,2.63,1119,0.03
2026-08-17,2.6,2.66,2.6,2.66,17115,0.03
2026-08-18,2.4,2.85,2.4,2.84,19228,0.18
2026-08-19,2.83,2.83,2.78,2.78,11915,-0.06
2026-08-20,0.0,0.0,0.0,0.0,0,0.0
