date,open,max,min,close,volume,spread
2026-08-11,60.8,62.0,59.1,61.7,6046516,0.4
2026-08-12,61.0,62.8,60.8,60.8,5805076,-0.9
2026-08-13,61.1,64.9,61.1,63.9,14501590,3.1
2026-08-14,65.4,65.5,61.0,61.4,19911035,-2.5
2026-08-17,61.0,62.4,59.1,60.4,4774946,-1.0
2026-08-18,59.9,63.9,59.7,60.1,10041470,-0.3
2026-08-19,60.2,63.1,60.1,60.5,7968112,0.4
2026-08-20,60.8,66.4,60.8,62.7,21903380,2.2
2026-08-21,62.7,68.5,60.8,66.5,25415049,3.8
2026-08-24,67.0,69.7,65.2,65.2,24648347,-1.3
2026-08-25,64.0,71.7,63.5,71.7,31984106,6.5
2026-08-26,74.7,78.8,73.9,78.8,31026132,7.1
2026-08-27,82.1,86.6,81.6,86.6,19879126,7.8
2026-08-28,91.8,95.2,82.9,92.8,82048901,6.2
2026-08-31,89.0,93.2,87.5,89.2,30835340,-3.6
2026-09-01,88.6,89.4,86.3,87.1,4934613,-2.1
2026-09-02,86.5,91.0,85.2,88.9,4093606,1.8
2026-09-03,90.5,90.5,81.5,81.5,5681322,-7.4
2026-09-04,83.0,87.9,80.2,87.9,3736298,6.4
