date,open,max,min,close,volume,spread
2026-08-25,0.0,0.0,0.0,0.0,0,0.0
2026-08-26,0.0,0.0,0.0,0.0,0,0.0
2026-08-27,0.0,0.0,0.0,0.0,0,0.0
2026-08-28,0.0,0.0,0.0,0.0,0,0.0
2026-08-31,0.0,0.0,0.0,0.0,0,0.0
2026-09-01,0.0,0.0,0.0,0.0,0,0.0
2026-09-02,0.0,0.0,0.0,0.0,0,0.0
2026-09-03,0.0,0.0,0.0,0.0,0,0.0
2026-09-04,0.0,0.0,0.0,0.0,0,0.0
2026-09-07,0.0,0.0,0.0,0.0,0,0.0
2026-09-08,0.0,0.0,0.0,0.0,0,0.0
2026-09-09,0.0,0.0,0.0,0.0,0,0.0
2026-09-10,1.34,1.34,1.34,1.34,1000,-0.21
2026-09-11,1.24,1.24,1.2,1.2,72000,-0.14
2026-09-14,1.04,1.14,1.04,1.11,398000,-0.09
2026-09-15,0.0,0.0,0.0,0.0,0,0.0
