date,open,max,min,close,volume,spread
2026-08-28,51.0,51.0,47.7,47.7,292713,-1.7
2026-08-31,47.55,49.35,47.55,49.35,31734,1.65
2026-09-01,47.95,49.2,47.95,49.1,19022,-0.25
2026-09-02,49.1,50.5,49.1,49.55,34410,0.45
2026-09-03,49.95,51.9,49.5,51.8,175870,2.25
2026-09-04,52.8,52.8,50.9,51.1,118595,-0.7
2026-09-07,51.0,51.2,50.0,50.5,91621,-0.6
2026-09-08,50.5,51.5,50.5,51.3,49574,0.8
2026-09-09,51.7,52.0,51.1,51.7,50112,0.4
2026-09-10,51.0,53.4,50.5,53.3,109238,1.6
2026-09-11,51.7,58.6,51.7,58.6,158330,5.3
2026-09-14,64.4,64.4,64.4,64.4,124690,5.8
2026-09-15,70.8,70.8,70.8,70.8,609713,6.4
2026-09-16,71.2,76.5,68.0,71.6,3311999,0.8
2026-09-17,72.8,78.7,70.8,73.5,2790883,1.9
