date,open,max,min,close,volume,spread
2026-08-05,0.11,0.11,0.11,0.11,30000,0.01
2026-08-06,0.11,0.11,0.04,0.04,290000,-0.07
2026-08-07,0.06,0.06,0.06,0.06,13000,0.02
2026-08-10,0.08,0.08,0.08,0.08,20000,0.02
2026-08-11,0.0,0.0,0.0,0.0,0,0.0
2026-08-12,0.0,0.0,0.0,0.0,0,0.0
2026-08-13,0.0,0.0,0.0,0.0,0,0.0
2026-08-14,0.12,0.17,0.12,0.17,93000,0.1
2026-08-17,0.39,0.39,0.28,0.39,125000,0.22
2026-08-18,0.6,0.8,0.59,0.8,280000,0.41
2026-08-19,1.0,1.0,0.89,0.9,62000,0.1
2026-08-20,1.0,1.09,0.85,1.03,137000,0.13
2026-08-21,0.94,1.5,0.94,1.43,100000,0.4
2026-08-24,1.88,2.04,1.88,2.04,121000,0.61
2026-08-25,2.5,2.55,1.87,2.5,336000,0.46
2026-08-26,3.0,3.23,2.51,3.23,81000,0.73
2026-08-27,3.99,4.04,3.5,4.01,79000,0.78
