date,open,max,min,close,volume,spread
2026-07-22,167.0,168.0,163.5,167.0,345255,11.5
2026-07-23,170.0,175.5,160.0,164.0,572174,-3.0
2026-07-24,166.0,180.0,160.5,164.0,1814746,0.0
2026-07-27,164.0,172.0,158.5,171.5,1033494,7.5
2026-07-28,161.5,175.5,160.5,162.5,1162553,-9.0
2026-07-29,162.0,167.5,146.5,148.5,1385338,-14.0
2026-07-30,147.5,152.0,135.5,137.5,852332,-11.0
2026-07-31,151.0,151.0,148.0,151.0,360562,13.5
2026-08-03,150.5,165.0,150.5,158.0,425384,7.0
2026-08-04,161.5,173.5,160.0,173.5,546716,15.5
2026-08-05,179.5,186.5,168.0,170.0,2025281,-3.5
2026-08-06,172.5,187.0,169.0,187.0,1261450,17.0
2026-08-07,191.5,205.5,189.5,205.5,2777687,18.5
2026-08-10,209.5,225.0,207.0,217.5,3781496,12.0
2026-08-11,212.0,219.0,208.0,218.0,1759300,0.5
2026-08-12,233.0,233.0,220.0,222.0,824448,4.0
2026-08-13,224.0,224.0,211.0,216.0,601785,-6.0
2026-08-14,224.0,227.0,218.0,219.0,1026646,3.0
2026-08-17,219.0,240.0,218.0,239.5,1019859,20.5
2026-08-18,239.5,244.5,233.5,244.0,825472,4.5
