date,open,max,min,close,volume,spread
2026-08-10,82.7,84.0,79.0,79.5,8234224,-4.9
2026-08-11,79.2,82.0,77.9,79.3,4959128,-0.2
2026-08-12,79.3,87.2,79.2,87.2,10828796,7.9
2026-08-13,87.4,88.7,85.0,85.0,11571373,-2.2
2026-08-14,86.0,88.9,80.0,83.8,10107474,-1.2
2026-08-17,83.0,91.0,82.6,87.4,18938013,3.6
2026-08-18,87.4,90.5,84.6,86.2,12819989,-1.2
2026-08-19,83.6,90.3,82.2,88.5,9647530,2.3
2026-08-20,93.3,97.3,91.7,97.3,17339933,8.8
2026-08-21,102.0,107.0,95.5,107.0,48814690,9.7
2026-08-24,113.5,117.0,109.0,112.5,28153423,5.5
2026-08-25,111.0,119.0,108.5,114.0,26997675,1.5
2026-08-26,113.5,125.0,113.0,125.0,11961378,11.0
2026-08-27,133.5,137.5,127.0,137.5,32172895,12.5
2026-08-28,138.5,140.5,129.5,130.0,27522635,-7.5
2026-08-31,127.5,137.5,127.5,136.0,4634492,6.0
