date,open,max,min,close,volume,spread
2026-07-28,368.5,386.5,368.5,370.0,502132,-32.5
2026-07-29,355.0,399.0,333.0,347.5,957200,-22.5
2026-07-30,335.0,371.5,329.0,332.0,964628,-15.5
2026-07-31,365.0,365.0,350.0,350.5,669255,18.5
2026-08-03,355.0,385.5,347.0,385.5,461427,35.0
2026-08-04,400.0,424.0,389.0,418.0,1232067,32.5
2026-08-05,449.5,453.5,422.0,426.0,968699,8.0
2026-08-06,420.0,438.5,414.0,421.0,726978,-5.0
2026-08-07,463.0,463.0,420.0,428.5,3471955,7.5
2026-08-10,439.0,471.0,429.5,457.0,3153684,28.5
2026-08-11,467.0,477.0,440.0,460.0,1848007,3.0
2026-08-12,506.0,506.0,506.0,506.0,376768,46.0
2026-08-13,556.0,556.0,516.0,556.0,3594866,50.0
2026-08-14,559.0,594.0,530.0,536.0,2980069,-20.0
2026-08-17,547.0,578.0,529.0,549.0,1987176,13.0
2026-08-18,546.0,574.0,537.0,572.0,904733,23.0
2026-08-19,546.0,570.0,544.0,544.0,885517,-28.0
2026-08-20,554.0,554.0,536.0,552.0,272620,8.0
