date,open,max,min,close,volume,spread
2026-08-12,1790.0,1860.0,1780.0,1835.0,1879358,45.0
2026-08-13,1850.0,1915.0,1825.0,1830.0,2138552,-5.0
2026-08-14,1860.0,1895.0,1785.0,1805.0,1183827,-25.0
2026-08-17,1795.0,1950.0,1785.0,1925.0,2566805,120.0
2026-08-18,1950.0,1995.0,1900.0,1960.0,2057755,35.0
2026-08-19,1860.0,1935.0,1770.0,1800.0,1866928,-160.0
2026-08-20,1800.0,1875.0,1750.0,1850.0,1662518,0.0
2026-08-21,1870.0,1875.0,1760.0,1765.0,880852,-85.0
2026-08-24,1765.0,1765.0,1690.0,1710.0,870314,-55.0
2026-08-25,1680.0,1845.0,1665.0,1845.0,1156863,135.0
2026-08-26,1830.0,2025.0,1825.0,2025.0,3229488,180.0
2026-08-27,2090.0,2225.0,2075.0,2225.0,4402453,200.0
2026-08-28,2265.0,2435.0,2255.0,2345.0,3660595,120.0
2026-08-31,2360.0,2375.0,2230.0,2305.0,2864739,-40.0
2026-09-01,2305.0,2320.0,2130.0,2285.0,2618566,-20.0
2026-09-02,2240.0,2240.0,2110.0,2110.0,1238933,-175.0
2026-09-03,2130.0,2170.0,2030.0,2095.0,870133,-15.0
