date,open,max,min,close,volume,spread
2026-09-03,84.2,91.5,84.2,91.5,4853896,8.3
2026-09-04,95.7,98.5,90.3,90.8,12726891,-0.7
2026-09-07,90.0,90.6,83.7,86.7,4254120,-4.1
2026-09-08,87.2,90.9,85.5,85.8,5794828,-0.9
2026-09-09,85.8,90.0,85.6,87.8,2791657,2.0
2026-09-10,87.8,96.5,86.3,96.5,6443804,8.7
2026-09-11,103.0,105.5,95.4,95.4,10245593,-1.1
2026-09-14,92.8,97.8,89.2,89.9,5304238,-5.5
2026-09-15,88.3,98.8,88.2,96.1,7255128,6.2
2026-09-16,96.1,105.5,95.6,105.5,9020600,9.4
2026-09-17,110.5,116.0,108.0,116.0,8408052,10.5
2026-09-18,124.0,127.5,119.0,127.5,13593190,11.5
2026-09-21,136.0,140.0,136.0,140.0,2954680,12.5
2026-09-22,152.0,154.0,147.5,154.0,1745091,14.0
2026-09-23,166.0,168.5,149.5,158.5,20182532,4.5
2026-09-24,158.0,164.5,158.0,164.0,1651712,5.5
